Loan Status,Current Loan Amount,Credit Score,Annual Income,Monthly Debt,Years of Credit History,Number of Open Accounts,Current Credit Balance,Maximum Open Credit
1,445412.0,709.0,1167493.0,5214.74,17.2,6.0,228190.0,416746.0
1,347666.0,721.0,806949.0,8741.9,12.0,9.0,256329.0,386958.0
1,217646.0,730.0,1184194.0,10855.08,19.6,13.0,122170.0,272052.0
1,548746.0,678.0,2559110.0,18660.28,22.6,4.0,437171.0,555038.0
1,215952.0,739.0,1454735.0,39277.75,13.9,20.0,669560.0,1021460.0
1,234124.0,727.0,693234.0,14211.24,24.7,10.0,28291.0,107052.0
1,390390.0,747.0,1791738.0,2478.55,22.7,6.0,121182.0,801812.0
0,317108.0,687.0,1133274.0,9632.81,17.4,4.0,60287.0,126940.0
1,128238.0,750.0,1354073.0,13202.15,11.9,7.0,131936.0,458788.0
1,91894.0,724.0,850383.0,5860.74,17.5,7.0,95608.0,230626.0
1,244926.0,704.0,1249953.0,6812.26,14.4,6.0,143051.0,245014.0
1,465410.0,688.0,1722654.0,15647.45,22.3,7.0,107559.0,488356.0
1,443960.0,749.0,1432391.0,25186.21,14.0,15.0,342475.0,905344.0
1,334620.0,729.0,1348620.0,16913.99,20.0,16.0,313177.0,539616.0
0,130174.0,733.0,524609.0,9311.71,15.4,7.0,130701.0,268818.0
1,333564.0,725.0,1248338.0,18205.04,14.6,18.0,300979.0,515526.0
1,161172.0,720.0,796499.0,3404.99,22.6,6.0,114095.0,170038.0
1,449108.0,718.0,1454507.0,13090.43,28.8,14.0,193990.0,458414.0
0,688468.0,682.0,1494616.0,14697.07,16.6,8.0,343995.0,843854.0
1,266112.0,750.0,919296.0,12946.79,21.6,9.0,266266.0,485518.0
1,287980.0,737.0,1013954.0,16138.6,18.6,11.0,223117.0,489302.0
1,439428.0,710.0,1518024.0,20923.56,17.8,11.0,209304.0,265716.0
1,518012.0,719.0,1193010.0,22667.38,20.9,11.0,452770.0,1080926.0
0,176198.0,736.0,1902090.0,28372.89,15.4,9.0,206872.0,620554.0
1,669372.0,725.0,2158210.0,34711.29,9.2,17.0,496052.0,638176.0
1,130922.0,747.0,2261304.0,9761.25,16.1,6.0,110428.0,235488.0
1,174548.0,721.0,1620681.0,30522.74,15.0,7.0,40489.0,128832.0
1,718784.0,672.0,1648915.0,15664.74,12.0,10.0,252016.0,489610.0
1,323466.0,699.0,2048618.0,27997.64,14.0,19.0,389994.0,743952.0
1,144562.0,751.0,1060922.0,19750.88,21.8,7.0,314773.0,1035408.0
1,211222.0,694.0,947625.0,8923.35,18.0,9.0,93081.0,397694.0
1,162360.0,720.0,486875.0,8560.83,15.1,16.0,129504.0,434654.0
1,311058.0,675.0,1343167.0,21378.8,31.4,11.0,247912.0,541596.0
1,163966.0,678.0,719910.0,12778.26,6.4,9.0,66025.0,138248.0
1,433312.0,736.0,1010401.0,22228.86,16.1,19.0,201780.0,613228.0
1,89320.0,748.0,1832075.0,13312.92,19.0,6.0,127946.0,216260.0
