Loan Status,Current Loan Amount,Credit Score,Annual Income,Monthly Debt,Years of Credit History,Number of Open Accounts,Current Credit Balance,Maximum Open Credit
0.0,163614.0,688.0,374300.0,7548.32,13.0,12.0,124241.0,281534.0
1.0,222266.0,717.0,758233.0,10172.98,10.7,9.0,134406.0,266948.0
1.0,386254.0,743.0,2131249.0,22200.55,29.0,11.0,256386.0,422884.0
0.0,153912.0,691.0,474715.0,5906.15,19.0,9.0,110713.0,283580.0
1.0,263582.0,747.0,853632.0,17499.38,16.5,6.0,93423.0,265804.0
1.0,62942.0,711.0,245936.0,2889.71,14.9,3.0,72295.0,109450.0
1.0,193226.0,712.0,846108.0,3518.42,17.0,5.0,112271.0,261030.0
0.0,204072.0,718.0,525407.0,13266.37,16.5,9.0,123367.0,547316.0
1.0,346192.0,746.0,824106.0,13742.13,15.6,7.0,125818.0,229064.0
0.0,615780.0,674.0,1352496.0,7213.35,15.8,17.0,119624.0,563068.0
1.0,178310.0,735.0,1251188.0,13554.41,24.4,6.0,55556.0,91366.0
1.0,239118.0,737.0,940747.0,19677.16,10.4,5.0,38779.0,278938.0
1.0,139722.0,712.0,709935.0,7454.27,16.5,3.0,86583.0,161172.0
1.0,536580.0,725.0,1668276.0,18629.12,12.4,4.0,346142.0,491788.0
1.0,261448.0,691.0,1223030.0,32715.72,13.5,13.0,236075.0,455598.0
1.0,375694.0,730.0,1351945.0,11378.91,14.8,7.0,161215.0,201366.0
0.0,412852.0,734.0,1513502.0,9888.36,22.1,7.0,286026.0,350460.0
1.0,335742.0,747.0,1256489.0,17905.03,28.2,12.0,334134.0,952930.0
1.0,218372.0,746.0,1074982.0,23649.68,5.7,11.0,85709.0,445060.0
1.0,439516.0,680.0,1138746.0,15183.28,13.6,8.0,297046.0,483758.0
0.0,253022.0,746.0,1179159.0,18866.62,12.5,10.0,218804.0,738628.0
1.0,261052.0,744.0,995714.0,22569.72,17.5,16.0,261573.0,506484.0
0.0,219428.0,738.0,1421295.0,23214.58,20.5,16.0,95342.0,1041458.0
1.0,545996.0,716.0,1180147.0,18656.29,19.0,7.0,539885.0,777524.0
0.0,86482.0,736.0,989672.0,19133.95,14.5,20.0,131157.0,196724.0
1.0,67496.0,710.0,600229.0,4921.76,10.5,6.0,147839.0,182886.0
1.0,182930.0,710.0,233339.0,0.0,21.6,4.0,0.0,0.0
1.0,352286.0,713.0,1635311.0,25102.04,23.0,12.0,488965.0,754864.0
1.0,237996.0,718.0,1332261.0,11435.15,16.3,8.0,73606.0,110264.0
1.0,676368.0,722.0,1518746.0,28982.79,19.7,12.0,494646.0,1171258.0
1.0,177232.0,743.0,772540.0,9978.8,18.0,18.0,104329.0,789580.0
1.0,215798.0,697.0,1211421.0,10943.24,18.6,7.0,139023.0,220198.0
1.0,298980.0,725.0,737732.0,12418.59,15.0,12.0,264518.0,400906.0
1.0,121440.0,726.0,767942.0,2489.38,8.3,6.0,106723.0,305888.0
1.0,293964.0,703.0,1456065.0,13832.57,14.1,8.0,243371.0,458194.0
1.0,38302.0,707.0,1134414.0,3819.19,16.8,4.0,112271.0,196966.0
0.0,306152.0,730.0,721240.0,11419.76,8.3,11.0,114741.0,1155242.0
1.0,198946.0,713.0,1766183.0,5740.09,7.3,5.0,52250.0,77770.0
1.0,345554.0,748.0,1342958.0,7251.92,17.3,8.0,364439.0,1140524.0
1.0,218394.0,739.0,1904997.0,5873.85,17.6,10.0,202369.0,992860.0
0.0,64768.0,726.0,1398495.0,15500.01,16.6,7.0,139764.0,177034.0
1.0,527296.0,713.0,1046425.0,12033.84,11.3,11.0,505343.0,749210.0
1.0,312994.0,748.0,1348544.0,17530.92,27.6,9.0,223573.0,326040.0
1.0,447524.0,717.0,1449377.0,23673.05,17.6,11.0,221616.0,288662.0
1.0,156332.0,741.0,1928880.0,30862.08,9.7,15.0,605074.0,1005180.0
0.0,789096.0,662.0,2112629.0,39541.28,17.5,16.0,563844.0,766282.0
1.0,323576.0,721.0,1862950.0,13304.56,15.7,13.0,270522.0,333938.0
0.0,216700.0,746.0,898320.0,10555.26,16.3,17.0,296666.0,634942.0
1.0,453926.0,681.0,1960097.0,13230.65,17.7,11.0,372761.0,572440.0
1.0,344366.0,737.0,1858770.0,7605.51,16.1,9.0,233681.0,389312.0
1.0,131516.0,701.0,679877.0,12974.34,13.7,12.0,95000.0,111804.0
1.0,48510.0,748.0,524248.0,4805.67,28.6,7.0,0.0,0.0
1.0,391336.0,745.0,2140445.0,18372.05,16.7,15.0,294500.0,867680.0
1.0,200970.0,724.0,1312577.0,20782.58,23.5,9.0,107008.0,286814.0
1.0,240592.0,743.0,1416735.0,28216.71,12.8,9.0,165737.0,435182.0
1.0,218504.0,749.0,855608.0,21603.95,18.1,11.0,285000.0,563156.0
1.0,228294.0,660.0,869877.0,22109.35,12.3,7.0,101137.0,192610.0
1.0,150744.0,731.0,1246020.0,19832.39,21.5,10.0,82213.0,163570.0
1.0,40392.0,706.0,1259947.0,2698.38,19.1,3.0,85785.0,157168.0
1.0,117986.0,694.0,1886890.0,3207.77,12.0,7.0,80408.0,351296.0
1.0,53768.0,747.0,463524.0,4643.03,11.9,5.0,0.0,0.0
1.0,193556.0,744.0,780121.0,13847.2,12.0,9.0,172292.0,333630.0
1.0,25960.0,711.0,840807.0,12191.73,15.8,11.0,165946.0,530772.0
1.0,78452.0,724.0,1200268.0,12202.56,16.4,6.0,129124.0,249194.0
0.0,270468.0,743.0,837026.0,2859.88,29.6,18.0,59603.0,454058.0
0.0,401852.0,734.0,902367.0,23987.69,26.7,14.0,546041.0,1234904.0
1.0,61776.0,730.0,1695902.0,21481.4,28.5,6.0,110922.0,152174.0
1.0,269258.0,734.0,1123926.0,9553.39,25.1,7.0,117230.0,255662.0
1.0,342188.0,701.0,1277465.0,31191.35,20.6,15.0,246259.0,476850.0
1.0,667392.0,650.0,2305536.0,29203.38,12.3,7.0,409830.0,652740.0
0.0,439868.0,732.0,1329601.0,13296.01,19.0,9.0,198645.0,360514.0
1.0,692802.0,717.0,2000681.0,21674.06,17.4,18.0,591736.0,1243506.0
1.0,354992.0,699.0,1149690.0,24239.25,13.9,12.0,168663.0,390588.0
1.0,380776.0,697.0,1160634.0,16829.25,24.6,8.0,236265.0,694342.0
0.0,255772.0,724.0,657020.0,11880.89,21.0,12.0,344888.0,574618.0
1.0,175230.0,735.0,1607894.0,13720.66,17.3,13.0,208183.0,956538.0
1.0,202532.0,703.0,1791168.0,11747.13,32.6,22.0,320739.0,692868.0
1.0,128832.0,719.0,1483520.0,8381.85,30.9,4.0,36708.0,64372.0
0.0,154088.0,675.0,672581.0,7846.62,7.8,9.0,113297.0,269390.0
1.0,225852.0,750.0,900239.0,9077.44,16.4,6.0,399969.0,1221946.0
